name,city,state,country,workerCount,womenPercentage,engagementProgram,x,y
"Fashion Garments Mekong Co., Ltd. ",An Hoà,Đồng Tháp,Vietnam,501-1000,51-75%,NA,105.37,10.742
"Zhejiang Safemate Automotive Safety &Emergency Tech. Co., Ltd",Hangzhou,Zhejiang,China,101-500,26-50%,NA,120.205,30.249
Modern Home Lighting Inc.,Dongguan,Guangdong,China,101-500,26-50%,NA,113.747,23.044
Ashima Dyecot Pvt. Ltd.,Ahmedabad,Gujarat,India,101-500,76-100%,NA,72.58,23.022
"Nanjing Wally Electronics Technology Co., Ltd",Nanjin,Jiangsu,China,501-1000,51-75%,NA,118.797,32.06
Dhruv Globals Ltd,Faridabad,Haryana,India,1001+,0-25%,NA,77.309,28.403
SSV Export Garment Company ,Hoàng Diệu,Hải Dương,Vietnam,1001+,76-100%,Better Work,106.322,20.95
Top Fame (Cambodia) Garment Co Ltd,Phnom Penh,Phnom Penh,Cambodia,501-1000,,Better Work,104.881,11.505
Leshan Phoenix Semiconductor,Leshan,Sichuan,China,501-1000,0-25%,NA,103.762,29.561
Yongkang Fengran Industry And Trade Co Ltd,Yongkong,Zhejiang,China,0-100,26-50%,NA,120.089,28.854
Georgia Pacific Hattiesburg ,Hattiesburg,Mississippi,United States,101-500,0-25%,NA,-89.29,31.327
Dongguan Ergotron Precision Technology Company Ltd,Dongguan,Guangdong,China,501-1000,51-75%,NA,113.747,23.044
Kashyap Footwear Industries,Agra,Uttar Pradesh,India,0-100,0-25%,NA,78.01,27.175
PCA International Falls Mill ,International Falls,Minnesota,United States,101-500,0-25%,NA,-93.411,48.601
"Sunwoda Electronic Co., Ltd.",Shenzhen,Guangdong,China,1001+,51-75%,NA,114.055,22.545
"Minhou Weisheng Arts & Crafts Co., Ltd",Fuzhou,Fujian,China,0-100,26-50%,NA,119.292,26.077
Zen Linen International Pvt Ltd - Chennai,Chennai,Tamil Nadu,India,101-500,76-100%,HERhealth,80.284,13.08
Ditalia Moveis Industrial Ltda ,Monte Belo Do Sul,Rio Grande Do Sul,Brazil,101-500,51-75%,NA,-51.633,-29.167
TPK Touch Solutions (Xiamen) Inc.,Xiamen,Fujian,China,1001+,26-50%,NA,118.075,24.459
"Shenzhen ETLINK Technology Co.,Ltd",Shenzhen,Guangdong,China,0-100,51-75%,NA,114.055,22.545
Epson Precision Suzhou Co. Ltd.,Suzhou,Jiangsu,China,501-1000,51-75%,NA,120.734,31.403
Liago - Comercio E Industria De Calcado ,Sernande ,Felgueiras,Portugal,0-100,51-75%,NA,-8.239,41.343
Pegatron Corporation - Taoyuan,Taoyuan City,Taoyuan,Taiwan,101-500,26-50%,NA,121.328,24.989
Green Textile Limited ,Mymensingh,Dhaka,Bangladesh,1001+,51-75%,Better Work,90.632,24.004
"Zhuji Mingrun Textile Garments Co., Ltd",Shaoxing,Zhejiang,China,101-500,76-100%,NA,121.416,28.658
"Shenzhen Hong Chang Shun Cosmetic Fittings., Limited",Shenzhen,Guangdong,China,0-100,51-75%,NA,114.055,22.545
Samsung Semiconductor Inc. - Onyang,Asan City,Kyungki-do,South Korea,1001+,,NA,127.066,36.77
Phu Hung Joint Stock Company,Phù Cừ,Hưng Yên,Vietnam,501-1000,51-75%,Better Work,106.181,20.713
Guangdong Wireking Household Supplies Co. Ltd,Foshan,Guangdong,China,501-1000,0-25%,NA,113.115,23.025
"Zhenjiang Jinmao Weiye Artware Co., Ltd",Zhenjiang,Jiangsu,China,101-500,76-100%,NA,119.792,32.238
Crowntec (Jiang Xi) Sports Technology Co. Ltd.,Jiujiang,Jiangxi,China,101-500,26-50%,NA,115.991,29.728
CTDI Glenrothes,Fife,Scotland,United Kingdom,101-500,26-50%,NA,-3.15,56.18
Bergner Impex (India) Pvt Ltd.,Thane,Maharashtra,India,101-500,0-25%,NA,72.97,19.194
Dynamic Aura LLP,Noida,Uttar Pradesh,India,101-500,0-25%,NA,77.355,28.573
Presto Products Company ,Carrollton,Texas,United States,101-500,26-50%,NA,-96.89,32.954
Perrigo Animal Health - Omaha,Omaha,Nebraska,United States,0-100,51-75%,NA,-95.938,41.259
Yiwu Nuohua Clothes Co. Ltd,Yiwu,Zhejiang,China,0-100,51-75%,NA,120.07,29.306
Iovate Health Sciences International Milk Specialties,Wautoma,Wisconsin,United States,101-500,26-50%,NA,-89.288,44.075
Suzhou Aoke Rubber Technology Ltd.,Suzhou,Jiangsu,China,0-100,51-75%,NA,120.734,31.403
Dongguan Chilisin Electronics Ltd.,Dongguan,Guangdong,China,1001+,51-75%,NA,113.747,23.044
Carpet International,Bhadohi,Uttar Pradesh,India,101-500,0-25%,NA,82.488,25.423
Viet Tin Wood. Ltd.,Tân Uyên,Bình Dương,Vietnam,101-500,26-50%,NA,106.764,11.056
"Yiwanda Shoes Co., Ltd",Wenzhou,Zhejiang,China,501-1000,26-50%,NA,120.692,27.996
Ktex Industrial Co Ltd,Dhaka,Dhaka,Bangladesh,501-1000,76-100%,NA,90.356,23.81
"Toshiba America Electronic Components, Inc. (Kaga)",Nomi-shi ,Ishikawa,Japan,1001+,26-50%,NA,136.57,36.447
Ex-Cell Home Fashions (China) Ltd,Dongguan,Guangdong,China,101-500,51-75%,NA,113.747,23.044
Shenzhen Hedi Cosmetic Tools Co. Ltd ,Shenzhen,Guangdong,China,0-100,51-75%,NA,114.055,22.545
Chicony Electronics (Dongguan) Co Ltd,Dongguan,Guangdong,China,1001+,26-50%,NA,113.747,23.044
WD Malaysia - Kuala Lumpur,Petaling Jaya,Petaling,Malaysia,101-500,0-25%,NA,101.608,3.092
PT. Ghim Li Indonesia,Batam,Riau,Indonesia,1001+,51-75%,NA,104.038,1.106
"Universal Packaging Systems, Inc.",Chino,California,United States,101-500,51-75%,NA,-117.69,34.013
"Shenzhen Fugui Precision Industry Co., Ltd.  ",Shenzhen,Guangdong,China,1001+,51-75%,NA,114.055,22.545
"Dalian Yangerte Garment Co., Ltd",Dalian,Liaoning,China,0-100,51-75%,NA,121.628,38.918
"Dongguan Ke Tai Hong Electronics Co., Ltd.",Dongguan,Guangdong,China,101-500,51-75%,NA,113.747,23.044
Quoi Chi Garment And Trading Company Ltd,Hồ Chí Minh,Hồ Chí Minh City,Vietnam,101-500,51-75%,NA,106.603,10.866
Sealed Air Corporation (China),Shanghai,Shanghai,China,0-100,0-25%,NA,121.12,31.152
"Xiangshan Tongfu Garment Co., Ltd ",Ningbo,ZheJiang,China,101-500,76-100%,NA,121.62,29.862
Apollo-Toronto,Toronto,Ontario,Canada,101-500,26-50%,NA,-79.387,43.654
Sealed Air Corporation (North Carolina),Hudson,North Carolina,United States,0-100,0-25%,NA,-81.496,35.848
"Universal Scientific Industrial (Shanghai) Co., Ltd.",Shanghai,Shanghai,China,1001+,51-75%,NA,121.489,31.225
"Nantong Ironman Sporting Industrial Co., Ltd",Nantong,Jiangsu,China,0-100,51-75%,NA,120.89,31.983
Fellowes Inc.,Itasca,Illinois,United States,101-500,26-50%,NA,-88.007,41.975
"Ningbo Guangbo Plastic Products Manufacture Co., Ltd.",Ningbo,Zhejiang,China,101-500,76-100%,NA,121.62,29.862
"Kimberly-Clark GmbH, Niederbipp Mill",Niederbipp,Bern,Switzerland,101-500,0-25%,NA,7.703,47.276
Yasin Kaplan Takstil Ve Hali San. Ve Tic.As.,Şehitkamil,Gaziantep Province,Turkey,501-1000,0-25%,NA,37.316,37.162
Shantou Glory Master Knitting Factory Ltd,Shantou,Guangdong,China,101-500,51-75%,NA,116.678,23.356
"Putian Hanjiang District Xieshun Footwear Co., Ltd. ",Putian,Fujian,China,101-500,51-75%,NA,119.007,25.434
"Micron Semiconductor Co., Ltd. - Xi'an ",Xi'an,Shaanxi,China,1001+,,NA,108.937,34.347
Lenny Apparels Limited,Dhaka,Dhaka,Bangladesh,1001+,76-100%,"HERhealth, HERfinance ",90.272,23.94
"Shanghai Meadville Electronics Co., Ltd",Shanghai,Shanghai,China,501-1000,26-50%,NA,121.489,31.225
Jagdamba Cutlery Private Limited,Sonipat,Haryana,India,1001+,26-50%,NA,76.932,29.053
M/S Body Care International Limited,Noida,Uttar Pradesh,India,101-500,0-25%,NA,77.355,28.573
"Ningbo Lisi Houseware Co., Ltd.",Ningbo,Zhejiang,China,101-500,51-75%,NA,121.62,29.862
Nanya Technology Corporation - New Taipei,New Taipei City,Taipei,Taiwan,501-1000,,NA,121.418,25.058
"Ningbo East Cleaning Tool Co., Ltd.",Ningbo,Zhejiang,China,101-500,26-50%,NA,121.62,29.862
Soffass Converting Tassignano ,Tassignano,Lucca,Italy,101-500,0-25%,NA,10.578,43.826
Linea Aqua (Private) Limited,Kapugoda,Western Province,Sri Lanka,1001+,51-75%,NA,80.09,6.943
"Zhejiang Huanniao Shoes Co., Ltd ",Whenzhou,Zhejiang,China,101-500,26-50%,NA,120.576,28.035
"New Pourskey Lighting Technology Co., Ltd",Dongguan,Guangdong,China,0-100,26-50%,NA,113.747,23.044
"Wuxi Yada Knitting Co., Ltd",Wuxi,Jiangsu,China,0-100,76-100%,NA,120.295,31.578
"Murata Electronics, Inc. (Shiga, Japan)",Higashiomi-shi,Shiga,Japan,1001+,0-25%,NA,136.267,35.123
"Chaozhou Qingfa Ceramics Co., Ltd.",Chaozhou,Guangdong,China,101-500,26-50%,NA,116.612,23.664
Sai Corporation ,Kala Amb,Himachal Pradesh,India,101-500,26-50%,NA,77.208,30.52
Aster Tekstil Sanayi Ve Dis Ticaret A.S. - Babaeski  ,Babaeski,Kirklareli Province,Turkey,501-1000,51-75%,NA,27.06,41.446
First Quality - Drummondville ,Drummondville,Québec,Canada,101-500,26-50%,NA,-72.502,45.886
Bonapack,Huizhou,Guandong,China,0-100,26-50%,NA,114.256,23.094
